id,nombre,descripcion,lat,lng
1,Obelisco,"El Obelisco de Buenos Aires es un monumento histórico considerado un ícono de la ciudad de Buenos Aires, construido en 1936 con motivo del cuarto centenario de la llamada primera fundación de la ciudad por Pedro de Mendoza.",-34.603544,-58.381586
4,Plaza Lavalle,"La plaza Lavalle es una espacio verde de tres manzanas de Buenos Aires, Argentina. Se encuentra en el barrio de San Nicolás, rodeada de las calles Libertad, Lavalle, Talcahuano y avenida Córdoba.",-34.601936,-58.384335
5,Teatro Colon,"El Teatro Colón es un teatro de ópera de la ciudad de Buenos Aires. Por su tamaño, acústica y trayectoria, está considerado uno de los cinco mejores del mundo. Según una encuesta realizada por el experto en acústica Leo Beranek a destacados directores internacionales de ópera y de orquesta, el Teatro Colón posee la sala con la mejor acústica para ópera y la segunda mejor para conciertos del mundo.",-34.600879,-58.38309
2,Plaza General San Martin,"La Plaza General San Martín es el principal espacio verde en el barrio de Retiro en Buenos Aires. Inaugurada en 1862 donde antes había existido una plaza de toros, fue declarada Lugar Histórico Nacional en 1942.",-34.594627,-58.375626
3,Patio Bullrich,"El Patio Bullrich es un centro comercial en el barrio de Retiro, Ciudad de Buenos Aires, Argentina.",-34.588917,-58.384196
6,Cementerio de la Recoleta,"El Cementerio de la Recoleta es un famoso cementerio de la ciudad de Buenos Aires, Argentina. Está ubicado en el distinguido barrio de Recoleta y contiene las tumbas de numerosas personalidades destacadas del país. Se inauguró el 17 de noviembre de 1822, durante la gobernación del brigadier general Martín Rodríguez, siendo ministro de Gobierno Bernardino Rivadavia. Se transformó así en el primer cementerio público de la ciudad.",-34.587298,-58.393441
7,Centro Cultural Recoleta,"El Centro Cultural Recoleta (en un comienzo llamado Centro Cultural Ciudad de Buenos Aires) es un centro de exposiciones ubicado en el barrio de Recoleta, en la Ciudad de Buenos Aires. Fue declarado Monumento Histórico Nacional y forma parte de un polo de atractivos turísticos y de esparcimiento, junto al Cementerio de la Recoleta y la Plaza Intendente Alvear, mal llamada Plaza Francia(Esta se encuentra donde se alza el Monumento de Francia a la Argentina, frente al Museo Nacional de Bellas Artes). Ocupa el edificio del antiguo Asilo General Viamonte, y se trata de uno de los espacios culturales de mayor importancia de la ciudad.",-34.586265,-58.391789
8,Plaza Francia,"La Plaza Francia es un espacio público verde en el barrio de Recoleta, ciudad de Buenos Aires. Popularmente, la gente le ha trasladado su nombre a la cercana Plaza Intendente Alvear, lo cual puede llevar a confusiones.",-34.584892,-58.393203
9,Museo Nacional de Bellas Artes,El Museo Nacional de Bellas Artes (MNBA) es un museo y una Galería de arte argentino con sedes en la Ciudad de Buenos Aires y en la ciudad de Neuquén (MNBA Neuquén). Tiene el mayor patrimonio artístico del país y es uno de los principales de América Latina.,-34.583836,-58.392924
10,Biblioteca Nacional,"Una biblioteca nacional es aquella institución en la cual se deposita, acopia, preserva y difunde el patrimonio bibliográfico (libros, diarios, revistas, folletos, grabaciones, etc.) de un país. A diferencia de una biblioteca pública, está integrada por colecciones únicas e históricas de acceso restringido al público en general. Contiene por ejemplo primeras ediciones de obras históricas. Y, a diferencia de un Archivo Nacional, no guarda los documentos administrativos, legales o colecciones de instituciones públicas o particulares.",-34.584658,-58.398074
